"","X","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","REGION","lon","lat"
"1",1,"CERTIFIED","INNOCORE SOLUTIONS, INC","TECHNICAL","SENIOR NETWORK SECURITY ENGINEER","Y",60424,2011,"FORT WORTH, TEXAS"," SOUTH",-97.3307658,32.7554883
"3",3,"DENIED","COMPUTOP, INC.","NON-TECHNICAL","ACCOUNT ANALYST","Y",88920,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"4",4,"CERTIFIED","DYNASTY GROUP, INC.","TECHNICAL","COMPUTER PROGRAMMER","Y",50128,2011,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"5",5,"CERTIFIED","L-3 COMMUNICATIONS KLEIN ASSOCIATES INC.","NON-TECHNICAL","OCEANOGRAPHER","Y",106205,2011,"SALEM, NEW HAMPSHIRE"," NORTH EAST",-71.2008912,42.7885553
"6",6,"CERTIFIED","JDS UNIPHASE","TECHNICAL","SOFTWARE ENGINEER","Y",81806,2011,"INDIANAPOLIS, INDIANA"," MID WEST",-86.158068,39.768403
"7",7,"CERTIFIED","ARNOLD WORLDWIDE","NON-TECHNICAL","COPY WRITER","Y",52083.2,2011,"BOSTON, MASSACHUSETTS"," NORTH EAST",-71.0588801,42.3600825
"8",8,"CERTIFIED","SUPREMESOFT CORPORATION","TECHNICAL","PROGRAMMER ANALYST","Y",78624,2011,"WASHINGTON, DISTRICT OF COLUMBIA"," SOUTH",-77.0368707,38.9071923
"9",9,"CERTIFIED","KARUTZ FLAVIN INVESTMENT BANKERS LLC","NON-TECHNICAL","SENIOR ASSOCIATE","Y",49462,2011,"SAN ANTONIO, TEXAS"," SOUTH",-98.4936282,29.4241219
"10",10,"CERTIFIED","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","NON-TECHNICAL","ASSISTANT PROFESSOR","N",104686.4,2011,"LITTLE ROCK, ARKANSAS"," SOUTH",-92.2895948,34.7464809
"11",11,"CERTIFIED","PRISTINE REHAB CARE, LLC","NON-TECHNICAL","SPEECH LANGUAGE PATHOLOGIST","Y",57387,2011,"SOUTH GATE, CALIFORNIA"," WEST",-118.2120161,33.954737
"12",12,"CERTIFIED","UNIVERSITY OF VIRGINIA","NON-TECHNICAL","LABORATORY SPECIALIST","Y",26874,2011,"CHARLOTTESVILLE, VIRGINIA"," SOUTH",-78.4766781,38.0293059
"13",13,"CERTIFIED","CREDIT AGRICOLE SECURITIES (USA) INC.","TECHNICAL","SIS SPECIALIST","Y",58906,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"14",14,"CERTIFIED","APP DNA, INC.","NON-TECHNICAL","TECHNICAL SOLUTIONS MARKETING DIRECTOR","Y",117666,2011,"SCHAUMBURG, ILLINOIS"," MID WEST",-88.0834059,42.0333607
"15",15,"CERTIFIED","NAM INFO, INC.","TECHNICAL","IT CONSULTANT","Y",55245,2011,"EDISON, NEW JERSEY"," NORTH EAST",-74.4120953,40.5187154
"16",16,"CERTIFIED","MARLABS, INC","TECHNICAL","PROGRAMMER/ANALYST","Y",67101,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"17",17,"CERTIFIED","CALIFORNIA COLLEGE OF COMMUNICATIONS","NON-TECHNICAL","ACADEMIC COUNSELOR","N",38667.2,2011,"SANTA CLARA, CALIFORNIA"," WEST",-121.9552356,37.3541079
"18",18,"CERTIFIED","MCDERMOTT, INC.","NON-TECHNICAL","SENIOR ESTIMATOR","Y",82800,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"20",20,"CERTIFIED","CYBERTHINK INC","NON-TECHNICAL","DATABASE ADMINISTRATORS","Y",68640,2011,"MCLEAN, VIRGINIA"," SOUTH",-77.1772604,38.9338676
"21",21,"DENIED","CITOC, INC.","TECHNICAL","NETWORK ENGINEER","Y",79370,2011,"TOMBALL, TEXAS"," SOUTH",-95.6160549,30.0971621
"22",22,"CERTIFIED","MAJESCOMASTEK","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",76939,2011,"BELLEVUE, WASHINGTON"," WEST",-122.2015159,47.6101497
"23",23,"CERTIFIED","THE UNIVERSITY OF TEXAS AT AUSTIN","NON-TECHNICAL","POSTDOCTORAL FELLOW","Y",31554,2011,"AUSTIN, TEXAS"," SOUTH",-97.7430608,30.267153
"24",24,"CERTIFIED","MACCHIATO, LLC","NON-TECHNICAL","FOREIGN LEGAL CONSULTANT","Y",60029,2011,"MIAMI, FLORIDA"," SOUTH",-80.1917902,25.7616798
"25",25,"CERTIFIED","MCDERMOTT, INC.","TECHNICAL","PIPELINE ENGINEER","Y",73621,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"27",27,"CERTIFIED","UNIVERSITY OF ILLINOIS","TECHNICAL","POSTDOCTORAL RESEARCH ASSOCIATE","Y",38709,2011,"URBANA, ILLINOIS"," MID WEST",-88.2072697,40.1105875
"28",28,"DENIED","DYNAMIC METHODS, INC.","TECHNICAL","SOFTWARE CONSULTANT","Y",63000,2011,"IRVINE, CALIFORNIA"," WEST",-117.7946942,33.6839473
"29",29,"CERTIFIED","COMPUTER NETWORK TECHNOLOGIES & CONSULTING","TECHNICAL","COMPUTER NETWORK MANAGER","Y",54330,2011,"PEMBROKE PINES, FLORIDA"," SOUTH",-80.2962555,26.007765
"30",30,"CERTIFIED","IGRAPHIX CORP","NON-TECHNICAL","BUSINESS DEVELOPMENT AND MARKETING SPECIALIST","N",40289.6,2011,"NAPLES, FLORIDA"," SOUTH",-81.7948103,26.1420358
"31",31,"CERTIFIED","SECURE-24, INC.","TECHNICAL","SENIOR SAP BASIS ADMINISTRATOR","Y",83242,2011,"SOUTHFIELD, MICHIGAN"," MID WEST",-83.2218731,42.4733688
"32",32,"CERTIFIED","FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY","TECHNICAL","SCIENCE RESEARCH MANAGER","Y",38334,2011,"TALLAHASSEE, FLORIDA"," SOUTH",-84.2807329,30.4382559
"33",33,"CERTIFIED","MARLABS, INC","TECHNICAL","PROGRAMMER/ANALYST","Y",51293,2011,"NASHVILLE, TENNESSEE"," SOUTH",-86.7816016,36.1626638
"34",34,"CERTIFIED","JPMORGAN CHASE & CO.","TECHNICAL","APPLICATION DEVELOPER","Y",101629,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"35",35,"CERTIFIED","MOBILE INTEGRATION WORKGROUP INC","TECHNICAL","LTE SGSN/MME DESIGN ENGINEER","Y",83803.2,2011,"REDMOND, WASHINGTON"," WEST",-122.121512,47.6739881
"37",37,"CERTIFIED","DRAKE BUSINESS SERVICES, INC.","NON-TECHNICAL","MARKET RESEARCH ANALYST","Y",44616,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"38",38,"CERTIFIED","COMPUNNEL SOFTWARE GROUP, INC.","TECHNICAL","BUSINESS ANALYST","Y",55952,2011,"MINNEAPOLIS, MINNESOTA"," MID WEST",-93.2650108,44.977753
"39",39,"DENIED","DOON TECHNOLOGIES, INC","TECHNICAL","PROGRAMMER ANALYST","Y",67122,2011,"IRVING, TEXAS"," SOUTH",-96.9488945,32.8140177
"40",40,"CERTIFIED","RETHINK REWARDS LLC","NON-TECHNICAL","MARKETING COMMUNICATIONS WRITER","Y",37066,2011,"SAN FRANCISCO, CALIFORNIA"," WEST",-122.4194155,37.7749295
"42",42,"CERTIFIED","WOODCLIFF CORPORATION","NON-TECHNICAL","FINANCIAL ANALYST","Y",56264,2011,"LOS ANGELES, CALIFORNIA"," WEST",-118.2436849,34.0522342
"44",44,"CERTIFIED","HAPPY DRAGON OF NEW YORK, INC.","NON-TECHNICAL","EARLY INTERVENTION SPECIAIST (SERVICE COORDINATOR)","Y",26291,2011,"CORONA, NEW YORK"," NORTH EAST",-73.8642613,40.7449859
"45",45,"CERTIFIED","PVR TECHNOLOGIES INC.","TECHNICAL","SAS PROGRAMMER","Y",48152,2011,"KING OF PRUSSIA, PENNSYLVANIA"," NORTH EAST",-75.3835525,40.1012856
"46",46,"CERTIFIED","MAXLINEAR, INC.","TECHNICAL","SENIOR STAFF ENGINEER, RF SYSTEMS","Y",102960,2011,"IRVINE, CALIFORNIA"," WEST",-117.7946942,33.6839473
"47",47,"CERTIFIED","SAGE IT, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",56909,2011,"BEAVERTON, OREGON"," WEST",-122.8037102,45.487062
"48",48,"CERTIFIED","ST. JUDE MEDICAL, INC.","NON-TECHNICAL","MANUFACTURING ENGINEER I","Y",68700,2011,"IRVINE, CALIFORNIA"," WEST",-117.7946942,33.6839473
"49",49,"CERTIFIED","HOUZER INC.","TECHNICAL","NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR","Y",70782,2011,"HAMILTON, NEW JERSEY"," NORTH EAST",-74.6796651,40.2115109
"50",50,"CERTIFIED","MAYO CLINIC","TECHNICAL","SENIOR ANALYST PROGRAMMER","Y",47154,2011,"ROCHESTER, MINNESOTA"," MID WEST",-92.4801989,44.0121221
"51",51,"CERTIFIED","SP TECHNOLOGIES LLC","TECHNICAL","APPLICATIONS SYSTEMS ANALYST","Y",60174,2011,"WASHINGTON, DISTRICT OF COLUMBIA"," SOUTH",-77.0368707,38.9071923
"52",52,"CERTIFIED","DCKAP INC","TECHNICAL","BUSINESS SYSTEMS ANALYST","Y",65042,2011,"FREMONT, CALIFORNIA"," WEST",-121.9885719,37.5482697
"53",53,"CERTIFIED","RESEARCH FOUNDATION OF CUNY","NON-TECHNICAL","RESEARCH ASSOCIATE","Y",36289,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"54",54,"CERTIFIED","OVER THE TOP FARM","NON-TECHNICAL","EQUINE CONSULTANT","Y",43805,2011,"HILLSBOROUGH, NORTH CAROLINA","SOUTH",-79.0997347,36.0754183
"55",55,"CERTIFIED","RICHRELEVANCE, INC.","TECHNICAL","SOFTWARE (JAVA) ENGINEER","Y",92019,2011,"SAN FRANCISCO, CALIFORNIA"," WEST",-122.4194155,37.7749295
"56",56,"CERTIFIED","BATTELLE","NON-TECHNICAL","POST DOCTORATE RESEARCH ASSOCIATE","Y",47653,2011,"RICHLAND, WASHINGTON"," WEST",-119.2844621,46.2856907
"57",57,"CERTIFIED","JPMORGAN CHASE & CO.","TECHNICAL","ENGINEER","Y",92726,2011,"COLUMBUS, OHIO"," MID WEST",-82.9987942,39.9611755
"58",58,"CERTIFIED","JPMORGAN CHASE & CO.","NON-TECHNICAL","VICE PRESIDENT RISK MANAGER","Y",68099,2011,"COLUMBUS, OHIO"," MID WEST",-82.9987942,39.9611755
"59",59,"CERTIFIED","YASH TECHNOLOGIES, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",53851,2011,"EAST MOLINE, ILLINOIS"," MID WEST",-90.4442979,41.5008673
"60",60,"DENIED","GLOBAL INFOTECH CORPORATION","TECHNICAL","COMPUTER PROGRAMMER","Y",123822.4,2011,"SANTA CLARA, CALIFORNIA"," WEST",-121.9552356,37.3541079
"61",61,"CERTIFIED","MARGIN10 CONSULTING, LLC","TECHNICAL","LEAD SOFTWARE DEVELOPER","Y",94889.6,2011,"HARRISBURG, PENNSYLVANIA"," NORTH EAST",-76.8867008,40.2731911
"62",62,"CERTIFIED","THE UNIVERSITY OF AKRON","TECHNICAL","RESEARCH ASSOCIATE CHEMISTRY","Y",29848,2011,"AKRON, OHIO"," MID WEST",-81.5190053,41.0814447
